"availability","brand_name","category","competitor_name","competitor_price","competitor_product_id","competitor_sale_price","currency","data_valid","discount_pct","gender_target","is_on_sale","product_name","scraped_at","sizes_available/0","sizes_available/1","sizes_available/2","sizes_available/3","sizes_available/4","sizes_available/5","sizes_available/6","sizes_available/7","sizes_available/8","sizes_available/9","sizes_available/10","sizes_available/11","sku_id","source_url","style_code"
"in_stock","Puma","Tees","tchooz","45","tchooz:8985423708417","15","USD","true","66.67","men","true","PUMA CLASS Relaxed Pinnacle Tee Men","2026-04-26T03:00:08Z","XXL",,,,,,,,,,,,"4069157681612","https://tchoozshoes.com/products/68802587","68802587"
"in_stock","Puma","Tees","tchooz","45","tchooz:8985423642881","15","USD","true","66.67","men","true","PUMA CLASS Relaxed Pinnacle Tee Men","2026-04-26T03:00:08Z","XXL",,,,,,,,,,,,"4069157696609","https://tchoozshoes.com/products/68802501","68802501"
"in_stock","Puma","Tees","tchooz","45","tchooz:9115215233281",,"USD","true",,"men","false","M RUN VELOCITY TEE (POLY) Men","2026-04-26T03:00:08Z","XXL",,,,,,,,,,,,"52660044","https://tchoozshoes.com/products/m-run-velocity-tee-poly-men","does_not_exist"
"in_stock","On","Low Boots","tchooz","119","tchooz:8982934290689",,"USD","true",,"kids","false","Cloudleap Youth","2026-04-26T03:00:08Z","37.5",,,,,,,,,,,,"7615537239866","https://tchoozshoes.com/products/3yf10040299","3YF10040299"
"in_stock","Adidas","Low Boots","tchooz","159","tchooz:9013527281921",,"USD","true",,"women","false","SAMBA OG Women","2026-04-26T03:00:08Z","White And Black","36 2/3","White And Blue",,,,,,,,,,"ID0478","https://tchoozshoes.com/products/ji2725","JI2725"
"in_stock","Puma","Shorts","tchooz","41","tchooz:9040760799489",,"USD","true",,"men","false","ESS No. 1 Logo Shorts 10"" Men","2026-04-26T03:00:08Z","Navy","Beige",,,,,,,,,,,"68259416","https://tchoozshoes.com/products/68259416","68259416"
"in_stock","Puma","Hoodies","tchooz","67","tchooz:8916701118721",,"USD","true",,"men","false","ESS No. 1 Logo Hoodie TR (s) Men","2026-04-26T03:00:08Z","S",,,,,,,,,,,,"68257380","https://tchoozshoes.com/products/68257344","68257344"
"in_stock","Puma","Low Boots","tchooz","109","tchooz:9045771583745","75","USD","true","31.19","men","true","Disperse XT 4 Men","2026-04-26T03:00:08Z","41","42","43","44","44.5","45","46","47","42.5",,,,"31079801","https://tchoozshoes.com/products/31079801","31079801"
"in_stock","Puma","Low Boots","tchooz","130","tchooz:9027835003137","90","USD","true","30.77","men","true","X-Cell Nova FS Men","2026-04-26T03:00:08Z","41","42","43","44","44.5","45","46","47","Black And Gray",,,,"37949502","https://tchoozshoes.com/products/37949502","37949502"
"in_stock","On","Low Boots","tchooz","195","tchooz:9131997724929",,"USD","true",,"men","false","Cloudtilt Men","2026-04-26T03:00:08Z","White And Black","41","42","43","44","44.5","45","46","47","White And Gray",,,"3ME10101430","https://tchoozshoes.com/products/cloudtilt-men","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","150","tchooz:9131503091969","75","USD","true","50","men","true","Speedcat OG Men","2026-04-26T03:00:08Z","42","43","44","44.5","45","47","41","46","Navy","Yellow","42.5",,"39884601","https://tchoozshoes.com/products/speedcat-og-men","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","100","tchooz:8977064558849",,"USD","true",,"men","false","ULTRA 6 PLAY TT Men","2026-04-26T03:00:08Z","41","42","43","44","44.5","45","46",,,,,,"10854202","https://tchoozshoes.com/products/10854202","10854202"
"in_stock","Puma","Low Boots","tchooz","230","tchooz:8980008730881","140","USD","true","39.13","women","true","Velocity NITRO 4 Women","2026-04-26T03:00:08Z","36","37","37.5","38","38.5","39",,,,,,,"31114103","https://tchoozshoes.com/products/31114103","31114103"
