sku_id,week_start_date,week_number,label,days_of_supply,sell_through_rate,velocity_ratio,price_gap_pct,gross_margin_pct,seasonal_mult,rule_triggered
SKU-JC9577,2026-01-01,1,,,,1.0,0.1538,0.5289,,cold_start
SKU-JC9577,2026-01-08,2,,,,1.0,0.1538,0.5289,,cold_start
SKU-JC9577,2026-01-15,3,,,,1.0,0.1538,0.5289,,cold_start
SKU-JC9577,2026-01-22,4,,,,1.0,0.1538,0.5289,,cold_start
SKU-JC9577,2026-01-29,5,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.9,rule_hold
SKU-JC9577,2026-02-05,6,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.9,rule_hold
SKU-JC9577,2026-02-12,7,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.9,rule_hold
SKU-JC9577,2026-02-19,8,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.9,rule_hold
SKU-JC9577,2026-02-26,9,HOLD,999.0,0.0,1.0,0.1538,0.5289,1.014,rule_hold
SKU-JC9577,2026-03-05,10,HOLD,999.0,0.0,1.0,0.1538,0.5289,1.1,rule_hold
SKU-JC9577,2026-03-12,11,HOLD,999.0,0.0,1.0,0.1538,0.5289,1.1,rule_hold
SKU-JC9577,2026-03-19,12,HOLD,999.0,0.0,1.0,0.1538,0.5289,1.1,rule_hold
SKU-JC9577,2026-03-26,13,HOLD,999.0,0.0,1.0,0.1538,0.5289,1.114,rule_hold
SKU-JC9577,2026-04-02,14,PROMOTE,999.0,0.0,1.0,0.1538,0.5289,1.2,rule_promote
SKU-JC9577,2026-04-09,15,PROMOTE,999.0,0.0,1.0,0.1538,0.5289,1.2,rule_promote
SKU-JC9577,2026-04-16,16,PROMOTE,999.0,0.0,1.0,0.1538,0.5289,1.2,rule_promote
SKU-JC9577,2026-04-23,17,PROMOTE,999.0,0.0,1.0,0.1538,0.5289,1.2,rule_promote
SKU-JC9577,2026-04-30,18,HOLD,999.0,0.0,1.0,0.1538,0.5289,1.114,rule_hold
SKU-JC9577,2026-05-07,19,HOLD,999.0,0.0,1.0,0.1538,0.5289,1.1,rule_hold
SKU-JC9577,2026-05-14,20,HOLD,999.0,0.0,1.0,0.1538,0.5289,1.1,rule_hold
SKU-JC9577,2026-05-21,21,HOLD,999.0,0.0,1.0,0.1538,0.5289,1.1,rule_hold
SKU-JC9577,2026-05-28,22,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.971,rule_hold
SKU-JC9577,2026-06-04,23,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.8,rule_hold
SKU-JC9577,2026-06-11,24,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.8,rule_hold
SKU-JC9577,2026-06-18,25,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.8,rule_hold
SKU-JC9577,2026-06-25,26,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.786,rule_hold
SKU-JC9577,2026-07-02,27,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.7,rule_hold
SKU-JC9577,2026-07-09,28,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.7,rule_hold
SKU-JC9577,2026-07-16,29,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.7,rule_hold
SKU-JC9577,2026-07-23,30,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.7,rule_hold
SKU-JC9577,2026-07-30,31,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.771,rule_hold
SKU-JC9577,2026-08-06,32,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.8,rule_hold
SKU-JC9577,2026-08-13,33,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.8,rule_hold
SKU-JC9577,2026-08-20,34,HOLD,999.0,0.0,1.0,0.1538,0.5289,0.8,rule_hold
SKU-JC9577,2026-08-27,35,HOLD,999.0,0.0,1.0,0.1538,0.5289,1.029,rule_hold
SKU-JC9577,2026-09-03,36,PROMOTE,84.0,0.25,1.0,0.1538,0.5289,1.6,rule_promote
SKU-JC9577,2026-09-10,37,MARKDOWN,84.0,0.25,0.2857,0.1538,0.5289,1.6,rule_markdown
SKU-JC9577,2026-09-17,38,PROMOTE,28.0,0.5,2.5714,0.1538,0.5289,1.6,rule_promote
SKU-JC9577,2026-09-24,39,PROMOTE,28.0,0.5,0.4286,0.1538,0.5289,1.6,rule_promote
SKU-JC9577,2026-10-01,40,MARKDOWN,56.0,0.5,0.0,0.1538,0.5289,1.1,rule_markdown
SKU-JC9577,2026-10-08,41,MARKDOWN,112.0,0.3333,0.0,0.1538,0.5289,1.1,rule_markdown
SKU-JC9577,2026-10-15,42,HOLD,999.0,0.3333,0.8571,0.1538,0.5289,1.1,rule_hold
SKU-JC9577,2026-10-22,43,HOLD,999.0,0.3333,1.0,0.1538,0.5289,1.1,rule_hold
SKU-JC9577,2026-10-29,44,HOLD,999.0,0.3333,1.0,0.1538,0.5289,1.043,rule_hold
SKU-JC9577,2026-11-05,45,HOLD,999.0,0.3333,1.0,0.1538,0.5289,1.0,rule_hold
SKU-JC9577,2026-11-12,46,HOLD,999.0,0.3333,1.0,0.1538,0.5289,1.0,rule_hold
SKU-JC9577,2026-11-19,47,HOLD,999.0,0.3333,1.0,0.1538,0.5289,1.0,rule_hold
SKU-JC9577,2026-11-26,48,HOLD,999.0,0.3333,1.0,0.1538,0.5289,1.0,rule_hold
SKU-JC9577,2026-12-03,49,HOLD,999.0,0.3333,1.0,0.1538,0.5289,1.0,rule_hold
SKU-JC9577,2026-12-10,50,HOLD,999.0,0.3333,1.0,0.1538,0.5289,1.0,rule_hold
SKU-JC9577,2026-12-17,51,HOLD,999.0,0.3333,1.0,0.1538,0.5289,1.0,rule_hold
SKU-JC9577,2026-12-24,52,HOLD,999.0,0.3333,1.0,0.1538,0.5289,1.0,rule_hold
SKU-IC9759,2026-01-01,1,,,,1.0,-0.0234,0.539,,cold_start
SKU-IC9759,2026-01-08,2,,,,1.0,-0.0234,0.539,,cold_start
SKU-IC9759,2026-01-15,3,,,,1.0,-0.0234,0.539,,cold_start
SKU-IC9759,2026-01-22,4,,,,1.0,-0.0234,0.539,,cold_start
SKU-IC9759,2026-01-29,5,MARKDOWN,140.0,0.1667,0.2857,-0.0234,0.539,0.9,rule_markdown
SKU-IC9759,2026-02-05,6,MARKDOWN,140.0,0.1667,0.0,-0.0234,0.539,0.9,rule_markdown
SKU-IC9759,2026-02-12,7,MARKDOWN,140.0,0.1667,0.0,-0.0234,0.539,0.9,rule_markdown
SKU-IC9759,2026-02-19,8,MARKDOWN,999.0,0.1667,0.7143,-0.0234,0.539,0.9,rule_markdown
SKU-IC9759,2026-02-26,9,HOLD,999.0,0.1667,1.0,-0.0234,0.539,1.014,rule_hold
SKU-IC9759,2026-03-05,10,HOLD,999.0,0.1667,1.0,-0.0234,0.539,1.1,rule_hold
SKU-IC9759,2026-03-12,11,HOLD,112.0,0.3333,1.0,-0.0234,0.539,1.1,rule_hold
SKU-IC9759,2026-03-19,12,HOLD,42.0,0.5,2.1429,-0.0234,0.539,1.1,rule_hold
SKU-IC9759,2026-03-26,13,HOLD,42.0,0.5,0.0,-0.0234,0.539,1.114,rule_hold
SKU-IC9759,2026-04-02,14,PROMOTE,42.0,0.5,0.0,-0.0234,0.539,1.2,rule_promote
SKU-IC9759,2026-04-09,15,PROMOTE,84.0,0.5,0.0,-0.0234,0.539,1.2,rule_promote
SKU-IC9759,2026-04-16,16,PROMOTE,56.0,0.6667,1.0,-0.0234,0.539,1.2,rule_promote
SKU-IC9759,2026-04-23,17,PROMOTE,56.0,0.6667,0.0,-0.0234,0.539,1.2,rule_promote
SKU-IC9759,2026-04-30,18,HOLD,56.0,0.6667,0.0,-0.0234,0.539,1.114,rule_hold
SKU-IC9759,2026-05-07,19,HOLD,14.0,0.8333,2.1429,-0.0234,0.539,1.1,rule_hold
SKU-IC9759,2026-05-14,20,HOLD,28.0,0.8333,0.2857,-0.0234,0.539,1.1,rule_hold
SKU-IC9759,2026-05-21,21,HOLD,28.0,0.75,0.4286,-0.0234,0.539,1.1,rule_hold
SKU-IC9759,2026-05-28,22,HOLD,28.0,0.75,2.5714,-0.0234,0.539,0.971,rule_hold
SKU-IC9759,2026-06-04,23,HOLD,9.33,0.8889,2.5714,-0.0234,0.539,0.8,rule_hold
SKU-IC9759,2026-06-11,24,HOLD,9.33,0.8889,3.4286,-0.0234,0.539,0.8,rule_hold
SKU-IC9759,2026-06-18,25,HOLD,70.0,0.6154,0.0,-0.0234,0.539,0.8,rule_hold
SKU-IC9759,2026-06-25,26,HOLD,70.0,0.6154,0.0,-0.0234,0.539,0.786,rule_hold
SKU-IC9759,2026-07-02,27,HOLD,999.0,0.6154,0.4286,-0.0234,0.539,0.7,rule_hold
SKU-IC9759,2026-07-09,28,HOLD,999.0,0.6154,1.0,-0.0234,0.539,0.7,rule_hold
SKU-IC9759,2026-07-16,29,HOLD,999.0,0.6154,1.0,-0.0234,0.539,0.7,rule_hold
SKU-IC9759,2026-07-23,30,HOLD,999.0,0.6154,1.0,-0.0234,0.539,0.7,rule_hold
SKU-IC9759,2026-07-30,31,HOLD,999.0,0.6154,1.0,-0.0234,0.539,0.771,rule_hold
SKU-IC9759,2026-08-06,32,HOLD,999.0,0.6154,1.0,-0.0234,0.539,0.8,rule_hold
SKU-IC9759,2026-08-13,33,HOLD,999.0,0.6154,1.0,-0.0234,0.539,0.8,rule_hold
SKU-IC9759,2026-08-20,34,HOLD,999.0,0.6154,1.0,-0.0234,0.539,0.8,rule_hold
